TimeStep,real_f3,pred_f3
0,-0.53535575,nan
1,-0.08328174,nan
2,-0.27971536,nan
3,-0.31900206,nan
4,-0.39757553,nan
5,-0.45678228,nan
6,-0.43686223,nan
7,-0.55527574,nan
8,-0.6139292,nan
9,-0.45678228,nan
10,-0.26034865,nan
11,-0.45678228,nan
12,-0.3389221,nan
13,-0.16185519,nan
14,-0.12256845,nan
15,-0.73178935,nan
16,-0.49606898,nan
17,-0.27971536,nan
18,-0.3582888,nan
19,-0.515989,nan
20,-0.73178935,nan
21,-0.3582888,nan
22,-0.73178935,nan
23,-0.43686223,nan
24,-0.39757553,nan
25,-0.8302828,nan
26,-0.47614896,nan
27,-0.22106192,nan
28,-0.948143,nan
29,-0.75170934,nan
30,-0.5945625,nan
31,-0.67313594,nan
32,-0.5746424,nan
33,-0.6925026,nan
34,-0.6925026,nan
35,-0.9287763,nan
36,-0.9088563,nan
37,-1.1058432,nan
38,-1.0859232,nan
39,-1.2823567,nan
40,-1.3022768,nan
41,-1.0859232,nan
42,-1.1644965,nan
43,-1.1252099,nan
44,-0.9874297,nan
45,-0.948143,nan
46,-0.8302828,nan
47,-0.8502028,nan
48,-0.8502028,nan
49,-0.9088563,nan
50,-1.1058432,nan
51,-0.9287763,nan
52,-0.948143,nan
53,-1.1844167,nan
54,-1.3415636,nan
55,-0.8502028,nan
56,-0.86956954,nan
57,-0.9874297,nan
58,-1.0267165,nan
59,-1.0466365,nan
60,-0.9874297,nan
61,-1.2237034,nan
62,-1.2823567,nan
63,-1.3808502,nan
64,-1.3808502,nan
65,-1.3022768,nan
66,-1.3022768,nan
67,-1.3216436,nan
68,-1.3415636,nan
69,-1.3614837,nan
70,-1.3808502,nan
71,-1.4007703,nan
72,-1.420137,nan
73,-1.3022768,nan
74,-1.4793437,nan
75,-2.0299113,nan
76,-1.872211,nan
77,-1.2430701,nan
78,-1.0859232,nan
79,-0.8109161,nan
80,-1.3022768,nan
81,-0.41749552,nan
82,-0.45678228,nan
83,-0.47614896,nan
84,-0.55527574,nan
85,-0.43686223,nan
86,0.19227864,nan
87,0.34942555,nan
88,0.27085215,nan
89,-0.18122187,nan
90,-0.27971536,nan
91,-0.063361704,nan
92,-0.45678228,nan
93,-0.29963538,nan
94,-0.29963538,nan
95,-0.47614896,nan
96,0.31013885,nan
97,-0.26034865,nan
98,-0.37820882,nan
99,-0.5945625,nan
100,-0.004708281,nan
101,0.68363935,nan
102,0.38871226,nan
103,-0.63384914,nan
104,-0.20114191,nan
105,-0.004708281,nan
106,-0.3389221,nan
107,-0.5945625,nan
108,-0.49606898,nan
109,-0.22106192,nan
110,-0.5746424,nan
111,-0.024074992,nan
112,-0.3389221,nan
113,-1.1252099,nan
114,0.19227864,nan
115,-0.043995026,nan
116,0.015211755,nan
117,-0.26034865,nan
118,-0.37820882,nan
119,0.32950553,nan
120,-0.24042861,nan
121,0.3693456,nan
122,0.31013885,nan
123,0.0744185,nan
124,1.0770599,nan
